name,category
K_E_HIV_1,3
K_E_HIV_10,2
K_E_HIV_11,0
K_E_HIV_12,1
K_E_HIV_13,2
K_E_HIV_14,2
K_E_HIV_15,1
K_E_HIV_16,3
K_E_HIV_17,2
K_E_HIV_18,2
K_E_HIV_19,0
K_E_HIV_2,3
K_E_HIV_20,2
K_E_HIV_21,1
K_E_HIV_22,1
K_E_HIV_3,3
K_E_HIV_4,0
K_E_HIV_5,1
K_E_HIV_6,2
K_E_HIV_7,2
K_E_HIV_8,1
K_E_HIV_9,1
K_E_HMA_1,3
K_E_HMA_10,2
K_E_HMA_11,3
K_E_HMA_12,1
K_E_HMA_13,2
K_E_HMA_14,2
K_E_HMA_15,1
K_E_HMA_16,2
K_E_HMA_17,1
K_E_HMA_18,3
K_E_HMA_19,2
K_E_HMA_2,0
K_E_HMA_20,2
K_E_HMA_21,3
K_E_HMA_22,2
K_E_HMA_23,2
K_E_HMA_24,2
K_E_HMA_25,2
K_E_HMA_26,2
K_E_HMA_27,1
K_E_HMA_28,2
K_E_HMA_29,2
K_E_HMA_3,0
K_E_HMA_30,2
K_E_HMA_31,2
K_E_HMA_4,2
K_E_HMA_5,3
K_E_HMA_6,3
K_E_HMA_7,2
K_E_HMA_8,2
K_E_HMA_9,2
K_E_IVA_1,3
K_E_IVA_10,2
K_E_IVA_11,2
K_E_IVA_12,2
K_E_IVA_13,0
K_E_IVA_14,0
K_E_IVA_15,3
K_E_IVA_16,2
K_E_IVA_17,1
K_E_IVA_18,3
K_E_IVA_19,2
K_E_IVA_2,2
K_E_IVA_3,3
K_E_IVA_4,3
K_E_IVA_5,2
K_E_IVA_6,2
K_E_IVA_7,1
K_E_IVA_8,3
K_E_IVA_9,2
K_E_MAC_1,2
K_E_MAC_10,1
K_E_MAC_11,1
K_E_MAC_12,1
K_E_MAC_13,1
K_E_MAC_14,0
K_E_MAC_15,0
K_E_MAC_16,1
K_E_MAC_17,0
K_E_MAC_18,1
K_E_MAC_19,1
K_E_MAC_2,1
K_E_MAC_20,0
K_E_MAC_21,0
K_E_MAC_22,1
K_E_MAC_23,1
K_E_MAC_24,2
K_E_MAC_25,0
K_E_MAC_3,0
K_E_MAC_4,1
K_E_MAC_5,0
K_E_MAC_6,2
K_E_MAC_7,0
K_E_MAC_8,0
K_E_MAC_9,0
K_K_HIV_1,2
K_K_HIV_10,0
K_K_HIV_11,0
K_K_HIV_12,1
K_K_HIV_13,0
K_K_HIV_14,1
K_K_HIV_15,0
K_K_HIV_16,0
K_K_HIV_17,0
K_K_HIV_18,1
K_K_HIV_19,1
K_K_HIV_2,2
K_K_HIV_20,0
K_K_HIV_21,2
K_K_HIV_22,2
K_K_HIV_3,2
K_K_HIV_4,1
K_K_HIV_5,0
K_K_HIV_6,0
K_K_HIV_7,0
K_K_HIV_8,0
K_K_HIV_9,0
K_K_HMA_1,0
K_K_HMA_10,0
K_K_HMA_11,2
K_K_HMA_12,1
K_K_HMA_13,1
K_K_HMA_14,2
K_K_HMA_15,2
K_K_HMA_16,2
K_K_HMA_17,1
K_K_HMA_18,2
K_K_HMA_19,2
K_K_HMA_2,0
K_K_HMA_20,1
K_K_HMA_21,1
K_K_HMA_22,1
K_K_HMA_23,0
K_K_HMA_24,1
K_K_HMA_25,0
K_K_HMA_26,0
K_K_HMA_27,0
K_K_HMA_28,0
K_K_HMA_29,0
K_K_HMA_3,1
K_K_HMA_30,0
K_K_HMA_31,0
K_K_HMA_4,1
K_K_HMA_5,1
K_K_HMA_7,1
K_K_HMA_8,0
K_K_HMA_9,1
K_K_IVA_1,2
K_K_IVA_10,1
K_K_IVA_11,2
K_K_IVA_12,1
K_K_IVA_13,0
K_K_IVA_14,0
K_K_IVA_15,0
K_K_IVA_16,0
K_K_IVA_17,0
K_K_IVA_18,1
K_K_IVA_19,0
K_K_IVA_2,2
K_K_IVA_3,1
K_K_IVA_4,2
K_K_IVA_5,2
K_K_IVA_6,1
K_K_IVA_7,2
K_K_IVA_8,2
K_K_IVA_9,0
K_K_MAC_1,1
K_K_MAC_10,0
K_K_MAC_11,0
K_K_MAC_12,0
K_K_MAC_13,0
K_K_MAC_14,0
K_K_MAC_15,0
K_K_MAC_16,0
K_K_MAC_17,1
K_K_MAC_18,0
K_K_MAC_19,0
K_K_MAC_2,0
K_K_MAC_20,0
K_K_MAC_21,0
K_K_MAC_22,1
K_K_MAC_23,1
K_K_MAC_24,1
K_K_MAC_25,0
K_K_MAC_3,0
K_K_MAC_4,0
K_K_MAC_5,0
K_K_MAC_6,0
K_K_MAC_7,0
K_K_MAC_8,0
K_K_MAC_9,0
